Pathogen,ModelType,Source,Route,Model_Org,k,a,N50,beta,a2
Acanthamoeba,bp,QW,intranasal,mouse,,0.245,19357,,
Adenovirus,exp,QW,inhalation,human,6.07E-01,,,,
Ascaris_Lumbericodes,bp,Navarro_2008,Dermal,human,,0.104,,1.1,
Bacillus_anthracis,exp,QW,inhalation,gp,1.65E-05,,,,
Bortadella_pertussis,exp,Jones_2015,intranasal,mouse,1.40E-08,,,,
Burkholderia_mallei,bp,QW,,mouse,,3.28E-01,5.43E+03,,
Campylobacter_jejuni,bp,QW,oral,human,,1.44E-01,8.90E+02,,
Clostridium_perfringens,exp,Seo_2021,,cell,1.82E-11,,,,
Coronavirus,exp,Watanabe_2010,inhaled,mouse,2.44E-06,,,,
Coxiella_burnetii,bp,QW,intraperitoneal,mouse,,3.57E-01,4.93E+08,,
Coxsachieviruses,exp,Mena_2003,oral,mouse,129,,,,
Cryptosporidium_hominis,exp,QW,oral,human,5.72E-02,,,,
Cryptosporidium_parvum,exp,QW,oral,human,5.72E-02,,,,
Ebolavirus,bp,Mitchell_2020,inhaled,mouse,,1.4,,3.55,
Echovirus,bp,QW,oral,human,,1.06E+00,9.22E+02,,
Elizabethkingia_spp.,bp,Dean_2023,Intramusccular,frog,,0.52,,86351,
Entamoeba_coli,bp,QW,oral,human,,1.01E+01,3.41E+02,,
Enterovirus,exp,QW,oral,pig,3.74E-03,,,,
Escherichia_coli,bp,QW,oral,human,,1.55E-01,2.11E+06,,
Francisella_tularensis,exp,QW,inhalation,monkey,4.73E-02,,,,
Giardia_duodenalis,exp,QW,oral,human,1.99E-02,,,,
Influenza,bp,QW,intranasal,human,,5.81E-01,9.45E+05,,
Lassa_virus,exp,QW,subcutaneuous_,gp,2.95E+00,,,,
Legionella_pneumophila,exp,QW,inhalation,gp,5.99E-02,,,,
Listeria_monocytogenes,exp,Zoellner_2019,,,2.37E-14,,,,
Mycobacterium_avium,exp,QW,oral,deer,6.93E-04,,,,
Mycobacterium_tuberculosis,exp,Jones_2009,inhaled,,0.0218,,,,
Naegleria_fowleri,exp,QW,intravenous,mouse,3.42E-07,,,,
Norovirus,hypgeo,Teunis_2008,oral,human,,0.04,,0.055,0.9997
Poliovirus,exp,QW,oral,human,4.91E-01,,,,
Prion,bp,QW,oral,hamster,,1.76E+00,1.04E+05,,
Pseudomonas_aeruginosa_eyelid,exp,QW,eyelid,mouse,1.05E-04,,,,
Pseudomonas_aeruginosa_lens,bp,QW,contact_lens,rabbit,,1.90E-01,1.85E+04,,
respiratory_syncytial_virus,exp,Jones_2015,intranasal,human,9.98E-05,,,,
Rhinovirus,bp,QW,intranasal,human,,2.21E-01,1.81E+00,,
Rickettsia_rickettsi,bp,QW,,pooled,,7.77E-01,2.13E+01,,
Rotavirus,bp,Teunis_1996,oral,human,,0.401,,227.2,
Salmonella_anatum,bp,QW,oral,human,,3.18E-01,3.71E+04,,
Salmonella_meleagridis,bp,QW,oral,human,,3.89E-01,1.68E+04,,
Salmonella_newport,exp,QW,oral,human,3.97E-06,,,,
Salmonella_nontyphoid,bp,QW,intraperitoneal,mouse,,2.10E-01,4.98E+01,,
Salmonella_typhi,bp,QW,oral,human,,1.75E-01,1.11E+06,,
SARS,exp,QW,intranasal,mouse,2.46E-03,,,,
Shigella_flexneri,bp,QW,oral,human,,2.65E-01,1.48E+03,,
Staphylococcus_aureus,exp,QW,subcutaneuous_,human,7.64E-08,,,,
Streptococcus,exp,Jones_2015,intranasal,mouse,1.05E-06,,,,
Toxoplasma_gondii,exp,Guo_2016,oral,mouse,7.50E-06,,,,
Vibrio_cholerae,bp,QW,oral,human,,2.50E-01,2.43E+02,,
Vibrio_parahaemolyticus,bp,FDA_2005,oral,human,,0.6,,1.30E+06,
Yersinia_Pestis,exp,QW,intranasal,mouse,1.63E-03,,,,
